subject,relation,object
TCR T cells,Fueling,excitement of cancer medicine
Institute of Molecular Medicine,is,Trinity Centre for Health Sciences
precision medicine,has,has extensively investigated as target for anticancer therapy
Radical esophagectomy,has,has widely acknowledged with paramount importance in intended therapy for squamous cell carcinoma
Hepatobiliary Liver Transplantation Center,Commission of,Key Laboratory on Living Donor Liver Transplantation of National Health and Family Planning Commission of China
Department of Oncology Clinical Development,is,Gunma University Graduate School of Medicine
Department of Molecular Oncology,Centre for,Centre for Translational and Applied Genomics
Nantong University of medicine,Department of,Reproductive Medicine
Clinical T status,were determined via,endoscopic ultrasound performed by endoscopists
clinical trials,are evaluating,use of vismodegib in types of cancer
"University of Antwerp , Faculty of Medicine and Health Sciences",Division of,Translational Radiation Oncology
China Biotherapy Research Center,is,Liaoning Cancer Hospital & Institute
Department of Dermatology,Department of,Dermatology
Department of Radiation Oncology,of Department is,China Medical University
Stoop HJA Peppelenbosch MP van Eijck CH Sleijfer S Tumor cell expression,predict,cancer specific survival in pancreatic cancer Int J Cancer 2017 141 572 582
lentiviral vectors specific,were obtained from,National RNAi Core Facility
radiotherapy,may of,Therefore may potential clinical value
treating physician,possibility of,LM originating from tumor types in patient
NLRP3 inflammasome,was,demonstrated as regulator in liver cancers
Cancer susceptibility gene2,is,cancer related lncRNA
Primary cells,were stained,hematopoietic specific marker CD45
IHC staining results,were scored by,pathologist
Bioinformatic analysis,reveals,pattern specific to like breast cancers
NLRP3 inflammasome,was,demonstrated as negative regulator of tumorigenesis in liver cancers
Ultra-deep targeted sequencing,identifies,based prognostic gene signature Oncotarget
biological processes enriched,were related In,513 selected gene set for ADC
Department Key Laboratory,Department of,China3 Department of Biochemistry
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted onto human IgG4 immunoglobulin molecule
miRNAs,are,are used as prognostic biomarkers
Radiosurgery Society,Department of,USA3 Department of Radiation Oncology
Salivary biomarkers,is in,cancer detection Med Oncol
Xenografted tumor model BALB c nude mice,were purchased from,Center of Experimental Animal
Radiation Oncology,Institute for,"CRUK / MRC Oxford Institute for Radiation Oncology , University of Oxford"
Clinical aspects,is in,Cancer Adv Biomed Res
European Organization for Research and Treatment of Cancer,Institute of,National Cancer Institute of Canada J Natl Cancer Inst
e immunostaining,is with,CD31 antibody
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived region grafted
clinical studies,have confirmed,efficacy of figitumumab on Ewing ’s sarcoma
miRNAs,have of,have particular interest in cancer research
ECL chemiluminescence kit,detect,bound antibody
Cell culture bronchial epithelial cell line HBE,were,obtained from Institute of Biochemistry of Chinese Academy
MTT assay,indicated,anti-tumour effect of cisplatin following transfection of PDCD4 siRNA
Discussion MiRNAs,are class,at post-transcriptional level involved in every aspect of cancer cell biology
T cell subpopulations,is in,Clin Cancer Res
cancer therapy,is with,specific adjuvant therapy
Otolaryngology - Head & Neck Surgery,is,Department of Surgery
China Department of Infectious Disease,is,Yongchuan Hospital of Chongqing Medical University
Thoracic Oncology,of Department is,Yokohama City University Medical Center
Department of Pediatric Dentistry,of Department is,China Medical University
aImmunology Research Center,is,Mashhad University of Medical Sciences
Department of Laboratory Medicine,University of,Hubei University of Medicine
Department of Cardiothoracic Surgery,of Department is,Department of Pathology
TLR7 8 agonist imiquimod,may,For VSCC tumors may applied therapeutic agent
Animal studies,were approved by,Animal Care Committee of First Affiliated Hospital of Zhengzhou University
Its biological role,has,has mainly evaluated in pancreatic ovarian esophagus cancers
BTPS type,is in,keeping with McKusick ’s description of Turcot syndrome with CMMRD spectrum disease
miRNAs,serve as,cancer biomarkers
miRNAs,are involved in,tumor specific categories
current immune checkpoint inhibitors,take brakes,early immunotherapies focused on T cell activity
Pembrolizumab,is,humanized IgG4 antibody consisting of high affinity mouse region
Sue Smith Breast Center,is,Baylor College of Medicine
Institute of Cancer Research,Institute for,National Institute for Health Research
Medical Imaging Research Group,is,Faculty of Health Sciences
prognostic biomarkers,Therefore should ideally incorporate,features of tumor leading to assessment of tumor biology
CT angiography,alternative to,traditional angiography for screening
Surgical Oncology,of Division is,Nagasaki University Graduate School of Biomedical Science
bronchial cells 16HBE,were kindly provided by,tumor Cell Library of Chinese Academy of Medical Sciences
Nemunaitis J Clayman G Agarwala SS Hrushesky W Wells JR Moore C Biomarkers,predict,p53 gene therapy efficacy in recurrent squamous cell carcinoma
Methods ductal adenocarcinoma samples,were collected by,Department of Hepatobiliary
Tumor xenografts,were formed with,SNU 478 VEC cells
Stem Cell Transplantation Research Center,Department of,Department of Pharmacology
ESCC cell lines,was detectable in,three cell lines
Whole genome sequencing,has,has added to diagnostic portfolio for tumors
Department of Gastrointestinal Oncology,of Department is,State Key Laboratory of Oncology
UM SCC cells,were exposed to,cetuximab
PIK3CA gene,is becoming,promising target for drugs
targeted vaccines,are in,studies for preventing lung cancer
DWI MRI evaluation,has,has reported as tool for tumors from benign ovarian lesions
clinical studies,coupled with,development of biomarkers
Saitama Medical Center,is,Jichi Medical University
Department of Radiation Oncology,Department of,Department of Radiation Oncology
diagnostic biomarkers,are needed with,fast development of biopsy
clinical significance,However requires,investigation through application as biomarkers
Clinical example,was,in SD BLCA patient diagnosed
Taiwan Department of Family Medicine,is,Kaohsiung Medical University Hospital
Genetic modified TAMs,could induce,effects in tumor models
serum CYFRA 21 1 assay,has,has performed at diagnostic workup
our top 50 miRNAs,were proved,related miRNAs with accuracy of 100 %
THP 1 cells,were,In our cell model induced by LPS
Fibroblast growth factor receptor gene amplification,is,associated with survival in patients with squamous cell lung cancer J Clin Oncol
exosomic miR level,may,may potential biomarker for gemcitabine sensitivity
Department of Imaging and Nuclear Medicine,of Department is,Second Military Medical University
biological insight,advance,development of PI3K inhibitors
Institute of Occupational and Social Medicine,of Institute is,Department of Diagnostic Radiology
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse variable region
University Division of Applied Pharmaceutical Education and Research,Foundation for,Japanese Foundation for Cancer Research
National Clinical Research Center for Cancer,for Center is,Tianjin Lung Cancer Center
Department of Radiotherapy and Radiation Oncology,Department of,Radiation Oncology
Matsubara R Kawano S Chikui T Kiyosue T Goto Y Hirano M Clinical significance,is in,diagnosis of cervical lymph node metastasis of oral squamous cell carcinoma Acad Radiol
medical imaging,are still main methods for,clinical diagnosis
BH3 profiles,be,associated with treatment response to nCRT in esophageal cancer to serve as basis for
Cancer Center,is,State Key Laboratory of Biotherapy / Collaborative Innovation Center of Biotherapy
LCa cell lines,were,obtained from Cell Bank of Chinese Academy
bone C 1612 Explorative laparotomy,is with,right hemicolectomy 3
specific shRNA,was stably expressed in,UM SCC 14A cells with endogenous expression
B cells,are critical to,T cell mediated antitumor immunity
Cell proliferation assay Cell proliferation analysis,was performed with,Cell Counting Kit 8
based chemotherapy,was,For decades only available systemic therapy for NSCLC
Key laboratory,Republic of,Department of Biochemistry and Molecular Biology
MIB proliferation index,was higher with,expression of CXCR4 with positive CXCR4 expression
ipilimumab treatment,is in,metastatic melanoma Cancer Immunol Immunother 2014 63 449 458
Ib study,is in,patients with advanced pancreatic Cancer Clin Cancer Res
radiotherapy,be related to,survival in patients with specific types of cancers
Mammalian mitochondria,are depicted,elongated cylindrical particles originated in cells
Chest computed tomography scan,revealing,endobronchial massive shadow associated with atelectasis of right upper lobe
circulating miRNAs,also showed,tight correlation in types of tumors
Department of Dermatology,is,University Teaching Hospital of Lomé
Methods Basigin 2 expression,was evaluated via,immunohistochemistry
Background Cisplatin,is used as,key anticancer drug for solid cancers
human tracheal cells,were stained,specific marker CD45
Pembrolizumab,is,IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region for stabilization
Department of Radiation Oncology,is for,Clinical Medicine Research
OSCC SAS cell line,was obtained,obtained from ATCC cell bank
Yamashita H Takahashi W Haga A Kida S Saotome N Nakagawa K Stereotactic body radiotherapy,is in,university of Tokyo hospital BioMed Res Int
Thoracic surgeon,is familiar with,use of ECMO especially in era
Th1 cells,are subset of,T cells
Colorectal Cancer Center,School of,Shanghai Jiao Tong University School of Medicine
T cell activities,can enhance,clinical benefits of immune checkpoint blockades
BM,was poorly responsive to,anti PD 1 antibody
animal studies,have examined,importance in associated angiogenesis
Center for Cancer Research,is,National Cancer Institute
People ’s Medical Publishing House,entitled as,Guideline Chinese Society Clinical Oncology
Rait A Cole DJ Chang EH Watson DK Transferrin receptor targeting nanomedicine,delivering,type p53 gene
Department of Internal Medicine,of Department is,Korea Department Pathology
Pembrolizumab,are,IgG4 monoclonal antibodies approved as second line therapy for metastatic HNSCC by US FDA
Discussion Cardiac CT,offers,anatomical assessment of CAD
HPV genotyping,revealed,bands specific for HPV6 11
Zhang SE associated fibroblasts,contribute via,mediated paracrine miR 34a 5p EBioMedicine
LUAD tissue samples,were,Simultaneously collected from Department of Thoracic Surgery
"Department of Public Health , College of Medicine",Department of,Department of Chest Surgery
neuropilin isoform NRP2b,supports,TGF mediated progression in lung cancer Science Signaling
HRM MAF titration,was,conducted by MAF in mixed DNA sample in increasing DNA concentration assay from 0.25 ng μl
T cells,induces,classically activated M1 macrophages
Gao G Ren S Li Xu J Xu Q Su C Epidermal growth factor receptor tyrosine kinase inhibitor therapy,is effective as,line treatment with mutated EGFR
Peter Doherty Institute for Infection and Immunity,at Department is,St Vincent ’s Hospital
Primary Sjögren ’s syndrome,is autoimmune disorder in,primary Sjögren ’s syndrome
human cells,were maintained according,protocol provided by Clonetics
T cells,been,linked to outcome in NSCLC
based chemotherapy,is in,patients with EGFR mutant NSCLC
Department of Pathology and Laboratory Medicine,of Department is,Department of Medicine
Brazil Department of Pathology,is,Barretos Cancer Hospital
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto human IgG4 immunoglobulin molecule with Fc region for stabilization
HRM MAF titration,was,conducted by MAF in DNA sample from 10 % to 0.005 % in increasing DNA concentration assay
Pembrolizumab,are,human IgG4 monoclonal antibodies approved as second line therapy for HNSCC
primary antibody,subsequently was conjugated with,conjugated antibody
clinical data,were,For tumor samples available from Department of Otolaryngology
Third Department of Internal Medicine,of Department is,Shizuoka Cancer Center
antigen receptor engineered T cells,induce,anti-tumor activity
human NSCLC cell line,were,obtained from Shanghai Cell Bank at Chinese Academy
Radiotherapy,has,has established as treatment for tumors
Ongoing phase oncology trials,focuses solely on,early phase oncology trials at MDACC mainly
US National Library of Medicine,of,PubMed
Department of Chronic Non-Communicable Diseases Prevention,of Department is,Chinese Academy of Medical Sciences and Peking Union Medical College
Primary outcome fitness Cardiopulmonary fitness,will,will determined by cardiopulmonary exercise test gold measure
major cells,fundamental role in,cell mediated immunologic destruction of cancer cells
stem cell exosomes,promote,periodontal regeneration Acta Biomater 2019 89 252 264
human immortalized cells,were,provided by Key Laboratory
National Center for Biotechnology Information,is,U.S. National Library of Medicine
clinical trials,far considered as,robust biomarker
Pembrolizumab,is,monoclonal IgG4 antibody consisting of affinity mouse variable region grafted with engineered Fc region for stabilization
Graduate School of Medicine,of School is,Graduate School of Medicine
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with Fc region for stabilization
Primary Sjögren ’s syndrome,is,in primary Sjögren ’s syndrome chronic autoimmune disorder characterized by focal infiltration
DCs CIKs cytotherapy,partially rescues,immune suppression induced by TRT
Department of Radiation Oncology,of Department is,"Daejeon St. Mary ’s Hospital , College of Medicine"
Pembrolizumab,are,human IgG4 anti-PD-1 monoclonal antibodies approved as second line therapy for HNSCC by US FDA
Increased tumorous AREG,was associated with,increased HBGEF expression
IL 24 gene,was,originally discovered by subtraction hybridization method by melanoma cells to differentiation
biomarkers,are urgently needed with,development of liquid biopsy
Cost comparison Surgical instrument costs,were determined vs,mandibulotomy approaches for oropharyngeal cancer resections
Cancer Research,is,Kaohsiung Medical University
Bae J Hideshima T Tai YT Song Y Richardson P Raje N Histone deacetylase inhibitor ACY241,enhances,anti-tumor activities of antigen specific central memory cytotoxic T lymphocytes
Tumor suppressor microRNA,decreases,cell motility ability in human bladder cancer cells
responsive miRNAs,may represent,biomarkers
Pembrolizumab,is,is currently tested in combination with laser ablation in patients
Pulmonary Medicine,of Department is,Japan Department of Thoracic Surgery
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted with Fc region
Background Pancreatic resection,are powerful tools in,multidisciplinary treatment of pancreatic ductal adenocarcinoma
Department of Radiation Oncology,is,Xiamen Humanity Hospital
BH3 profiles,be,associated with treatment response to nCRT in cancer serve
Vascular endothelial growth factor,combination of,VEGF directed therapy with doublet chemotherapy
clinical correlation,are helpful for,diagnosis of IMT
Sun X Serum microRNA,functions as,potential diagnostic marker for patients with osteosarcoma Biomed Pharmacother 2015 75 153 158
Hanazaki K Intrahepatic biliary cystadenoma,demonstrated by,cholangiography Hepatogastroenterology
Department of Neurology,Hospital of,Fourth Hospital of Harbin Medical University
MTT assay,measure,viability of MEF cells
Imprinting diagnostic models,building,imprinting diagnostic models
PC9 cell,was,treated with FZKA by administration
Otolaryngol Head Neck Surg,Am,Acad Otolaryngol Head Neck Surg 2011
Pembrolizumab,is,is currently tested in combination with bevacizumab with laser ablation
NLRP3 inflammasome,level of,NLRP3 inflammasome
T cells,reportedly induces,classically activated M1 macrophages
diagnostic biomarkers,are,with development of biopsy of cancer diagnosis needed for scale studies
Pembrolizumab,is,humanized IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with Fc region
next generation TRK kinase inhibitor,overcomes resistance to,TRK kinase inhibition in patients with TRK tumors Cancer Discov
human tracheal cells,were stained marker CD45 for,specific marker CD326 EpCAM
MEK inhibitor trametinib,was recently approved worldwide for,clinical use
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % in total DNA concentration assay
Department of Pathology,of Department is,"University of Colorado , Anschutz Medical Campus"
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse variable region grafted onto human IgG4 immunoglobulin molecule with Fc region
VEGFR targeting antibody ramucirumab,was,approved by Food Administration for gastric junction adenocarcinoma patients with progression on fluoropyrimidine - containing chemotherapy
Cumming School of Medicine,Department of,Department of Surgery
biomarkers,level of be,In clinical application would influence of individual classifications including age
Nakamura T Nakao T Ashihara E Yoshimura N suppressor cells,recruit,Foxp3 T cells in cardiac allograft
Surgical Oncology,of Division is,Japan Department of Pharmacotherapeutics
total ERK1 polyclonal antibody,was commercially provided by,Santa Cruz Biotechnology
DIM targets COX2 pathway,reverse EMT,Since involved in tumor metastasis
radiologist,diagnose,tumor subtype
Active cancer immunotherapy,induces,antigen specific T - cell responses
Preoperative modified folfirinox treatment,followed by,based chemoradiation for borderline resectable pancreatic cancer
Cell proliferation assay,is in,BEAS 2B overexpressing clones of LCAL1 with qPCR validation of LCAL1 expression
Respiratory Medicine Department,is,Athens Chest Hospital
Sun Yat sen University Cancer Center,is,cancer hospital
Department of Clinic,School of,School of Dentistry
Pembrolizumab,is,monoclonal IgG4 antibody consisting of high affinity mouse variable region
gamma radiation Int J Radiat Oncol Biol Phys 2018 101,after J is,human colorectal Cancer cell line
Pembrolizumab,is,humanized IgG4 antibody consisting of high affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule with engineered Fc region
pembrolizumab,of activity is,anti-PD-1 antibody
radiotherapy,has become,cornerstone of adjuvant therapy for advanced rectal cancer
T cells,undergo activation in,association to B cells
BH3 profiles,be,associated with treatment response to nCRT serve as basis for
Her laboratory research,developing,improved therapeutic strategies for relevant molecular subsets of lung cancer
Our microarray analysis,revealed,expression of lncRNA Cancer Susceptibility Gene 2 in RAS
Stimulated PBMCs,labeled with,BD Biosciences
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted onto human IgG4 immunoglobulin molecule
Department of Epidemiology and Biostatistics,is,VU University Medical Center
Belgium4 Department of Otolaryngology,is,Antwerp University Hospital
Department of Radiation Oncology,Departments of,China Departments of Pathology
medical imaging,has become,important tool for diagnosis
splicing EIciRNAs,currently shown,CiRNAs
combined clinical model,showed power with,clinical variable model
MRIdian platform,allows for,direct tumor visualization
Human cells 16HBE,were provided by,tumor Cell Library
Kanzaki M Kikkawa T Shimizu T Maeda H Wachi N Isaka T Presurgical planning,using,model of anatomy of patient
DWI MRI evaluation,has,has reported as tool for differentiating malignant tumors from benign ovarian lesions
HEK293T cell line,grown in,DMEM supplemented with 10 % calf serum under 5 % of CO2
Department of Oncology,is,Fujian Cancer Hospital & Fujian Medical University Cancer Hospital
Department of Anatomy,is,School of Basic Medical Science
PD 1 gene,be,used as markers for distinguishing between stages of lung adenocarcinoma in Northeast Han population
Major lung resection,may cause,right heart failure with left right shunt
tumor suppressor miRNA,let,7a 1 gene as new direct target
Cancer Genome Atlas Research Network,performed,comprehensive analysis of 178 cell lung cancers
biomarkers,capture,tumor features linked with CTC enrichment
RNActive based cancer immunotherapy,containing,sequence optimized mRNAs
Current clinical trials,focused on,EGFR TKIs including erlotinib in combination with MEK inhibitors appearing
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted onto human IgG4 immunoglobulin molecule with engineered Fc region
Pathologist ’s role,is in,Era of personalized medicine Adv Anat Pathol
Department of Radiation Oncology,Department of,Otorhinolaryngology
5 Fluorouracil transplantable murine CRC,favored MDSC differentiation,immunosuppression in context of FOLFIRI Kanterman
Pembrolizumab,was,approved by FDA in 2017 for MSI solid tumors
Pulmonary Medicine,of Department is,Tongji University School of Medicine
our HisCoM mimi model,effectively provide,integrated e.g. miRNA to target mRNA markers
Department of Clinical Laboratory Medicine,of Department is,Affiliated Tumor Hospital of Guangxi Medical University
Human cells,were purchased from,ScienCell Research Laboratories
Radiation Oncology,is,University Hospitals Leuven
Cancer Epidemiology and Genetics,is,National Cancer Institute
T cells,is reflection of,presence of ongoing type 1 tumor specific response
Hippocampal dosimetry,predicts function impairment after,radiotherapy for benign brain tumors
gene therapy medicinal product,has undergone studies according,guidelines of Medicines Agency
Department of Biomedical Informatics,of Department is,Vanderbilt University School of Medicine
College of Basic Medical Sciences,is,Dalian Medical University
Clinical tissue samples time PCR,measure raptor expression in,clinical tissue samples
Department of Genetics,of Department is,ALM PG Institute of Basic Medical Sciences
Pembrolizumab,is,is tested in combination with bevacizumab with laser ablation in patients
Tissue classification,was conducted based,World Health Organization tumor classification criteria
AKT inhibitor AZD5363,sensitizes,patient derived cancer xenograft model
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse region grafted onto IgG4 immunoglobulin molecule
Department of Radiation Oncology,is,Saint Gallen Cantonal Hospital
Department of Radiation Oncology,Laboratory of,State Key Laboratory of Oncology
Department of Genetics,is,M.D. Anderson Cancer Center
DCE MRI,has,has determined as tool for diagnosis in head
Fig. Western blot analysis,confirms,CAI as two most differentially expressed proteins in NSCLC
Department of Medicine,is,George Washington University Medical Center
Department of Radiation Oncology and Molecular Radiation Sciences,of Department is,Department of Radiation Oncology
medicine Fuzheng Kang Ai decoction,sensitized effect through,mediated MUC1 expression J Ethnopharmacol 2016 194 918 929
Department of Radiology,is,Seoul National University College of Medicine
Complicated mucoceles,resulting in,hemicolectomy
TKI transplantable cancers,reduced,intra-tumoral MDSC
Methods Basigin expression,was evaluated via,immunohistochemistry
BMC Genomics,is,AgiMicroRna Bioconductor
Department of Radiotherapy,of Department is,National Cancer Center / National Clinical Research Center for Cancer / Cancer Hospital
Department of Molecular Biology and Genetics,of Department is,Atatürk Chest Diseases and Chest Surgery Education and Research Hospital
Yue J Yu Z Tumor marker index,is significant factor for,patients with cell carcinoma Cancer Biomark Sect A Disease
Pembrolizumab,are,human IgG4 anti-PD-1 monoclonal antibodies approved as second line therapy for metastatic HNSCC
Vigneswaran N Williams MD Epidemiologic trends,is in,diagnosis Oral Maxillofac Surg Clin North
Department of Oncology,is,Shanghai Pulmonary Hospital
Pembrolizumab,is,humanized IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with Fc region for stabilization
driven lncRNAs,serve as,biomarkers
TMA construction embedded specimens,resected at,Thoraxklinik at Heidelberg University
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted onto IgG4 immunoglobulin molecule with engineered Fc region for stabilization
Department of Medical Oncology,Department of,Australia Department of Pathology
human HEK293T cell line,grown in,DMEM supplemented with 10 % fetal calf serum under 5 % of CO2
Department of Radiology,Department of,China Department of Radiology
human TCF gene,encodes,nuclear binding protein uniquely expressed in T lineage lymphocytes Blood 1995 86 8 3050 3059 75793 99 20
T cells,were,retrovirally transduced with HER2 CAR with control construct
Gao G Ren S Li Xu J Xu Q Su C growth factor receptor tyrosine kinase inhibitor therapy,is effective as,first line treatment of lung cancer with mutated EGFR
fClinical Research Development Center,Center of,Gastroenterology
NSCLC cells,were purchased from,Institute of Biochemistry
stromal cells,can maintain CSC population In,pancreatic CSCs themselves
CAR T cell platforms,are under,clinical trials for refractory myeloma
circulating biomarkers,level of be,In clinical application would influence of individual classifications
pembrolizumab,was recently approved for,first line treatment of NSCLC
Anti-VEGF monoclonal antibodies,is,humanized monoclonal antibody
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived region grafted with engineered Fc region for stabilization
prognostic biomarkers,Therefore should ideally incorporate,features of tumor
based chemotherapy,was,For decades available therapy for advanced NSCLC
radiotherapy,allows,simultaneous treatment of targets
Department of Medical Oncology,of Department is,Australia Epigenetics Research Laboratory
diagnostic biomarkers,are,with fast development of liquid biopsy of cancer diagnosis urgently needed for scale studies
Clinical studies,have noted association with,responses after ICI treatment in single cancer type
Tumor classification,using,IHC parameters
radiotherapy,is with,cetuximab J Clin Oncol
Conclusions DCE MRI,may provide,information on fraction of cell carcinoma of uterine cervix
Primary Sjögren ’s syndrome,is,in primary Sjögren ’s syndrome disorder characterized by lymphocytic infiltration of exocrine glands
miRNAs,are,Specifically are applied as biomarkers in setting
PD 1 inhibitor nivolumab,was,when combined with CTLA -4-inhibitor ipilimumab
integrated genomic approach,identify,predictive biomarkers of response
MACS,specifically label CTCs with,anti-cytokeratin 8 monoclonal antibody
human ESCC cell line TE cells,were obtained from,Cell Bank for Biological Sciences
Background Low dose spiral tomography,be method of,diagnosing stage lung cancer
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted with Fc region
neuropilin 2 isoform NRP2b,supports,TGF mediated progression in lung cancer Science Signaling
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted
Department of Nasopharyngeal Carcinoma,of Department is,Collaborative Innovation Center for Cancer Medicine
Stem Cell Research Center,is,Department of Neurosurgery
HBV X protein,plays role in,HBV related HCC
biomarkers,are,In area of research are investigated including tumor infiltrating lymphocytes
Our thoracic MTB meetings,included,members from thoracic surgery
specific circRNAs,is with,primers for reverse splice site of circRNAs
College of Medicine,is,Kaohsiung Medical University
School of Public Health,is,Tongji Medical College
Graduate Institute of Biomedical Materials and Tissue Engineering,Department of,Department of Radiation Oncology
Surgical Oncology,of Division is,Nagasaki University Graduate School of Biomedical Sciences
Diagnosis BRPC,was,diagnosed via 16 - slice MDCT with pancreas protocol including triphasic cross-sectional imaging
Department of Respiratory Medicine,of Department is,Medical Center
Kanzaki M Kikkawa T Shimizu T Maeda H Wachi N Isaka T Presurgical planning,using,three dimensional pulmonary model of anatomy
Department of Radiotherapy,is,University Hospital Essen
Zhang T Zhang derived carcinoma xenograft mouse models,faithfully represent,human tumor diversity PLoS One
MGMT promoter,patients with,MGMT promoter in their tumors
T cells,were,For luciferase reporter assay co-transfected with 0.5 μg CCNA2
Pembrolizumab,is,IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted
Cardiac structures,were contoured by,one radiation oncologist
Bioinformatic analysis,reveals,pattern of gene expression specific to like breast cancers in human tumors Proc
Therapeutics Sciences,is,Meikai University of School of Dentistry
diagnostic biomarkers,are,In addition with fast development of biopsy of cancer diagnosis urgently needed for scale prospective studies
Kaohsiung Chang Gung Memorial Hospital and Chang Gung University College of Medicine,of College is,Cancer Center
several monoclonal antibodies,are undergoing development in,numerous clinical trials
adjuvant chemo radiotherapy plays,However role in,integrated therapy
Basque Foundation for Health Innovation and Research,is,Department of Gastroenterology
Department of Medical Oncology,School of,Zhejiang University School of Medicine
Pembrolizumab,is,is evaluated in early phase trials in combination with azacitadine
Cogle CR cell,derived,support of leukemia targeted by receptor tyrosine kinase inhibition Leuk Res
BMI1 expression,was,closely related to NLRP3 inflammasome in SCCHN mice model
MEK double treatment,proved,effective therapeutic strategy in vitro in NRAS mutant melanomas
OSCC tissues,evaluate,clinical significance of NIR1
T cells,have,While have studied in immunotherapy
Cogle CR cell,derived,support of acute leukemia targeted by receptor tyrosine kinase inhibition Leuk Res
five clinical parameters,were acquired from,UCSC cancer genome browser
ROCK kinase inhibitor fasudil,was approved small molecule for,clinical use
Therapeutic anti-EGFR antibody 806,generates,responses in murine de EGFR lung carcinomas J Clin Invest 2007
China Center of Oncology Research,is,Academy of Integrative Medicine
Integrative genomic analyses,reveal,clinically relevant long RNAs
Techasen Loilome W Namwat N Dokduang H Jongthawin J Yongvanit P Cytokines,released from,activated human macrophages
M cells,more SRAMs compared,E cells
Pembrolizumab,is,is currently tested in combination with laser ablation in patients with GBM
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule with Fc region
Department of Pathology and Laboratory Medicine,of Department is,"Department of Internal Medicine , Division of Hematology / Oncology , University of California Davis"
Department of Clinical Sciences,of Department is,Sweden2 Science for Life Laboratory
prognostic biomarkers,should incorporate,features of tumor leading
Uterine corpus involvement,is,predictor of metastasis in cervical cancer J Gynecol Oncol 2008 19 181 184
Cell culture Human bronchial cell line HBE,were,obtained from Institute of Biochemistry of Chinese Academy
Mammalian Tissue Culture Laboratory,used in,cell based assays
same day diagnostic body 18F FDG PET CT images,recommended for,diagnostic body 18F FDG PET CT imaging
Pembrolizumab,is,IgG4 antibody consisting of high affinity mouse region grafted with engineered Fc region
human immortalized oral cells,were,provided by Key Laboratory
biopsy samples,were,Throughout study reported as malignant tumors
Topalian SL Taube JM Anders RA driven biomarkers,guide,immune checkpoint blockade in cancer therapy Nat Rev Cancer 2016 16 275 287
Department of Gynecology Oncology,is,Harbin Medical University Cancer Hospital
Radiation Oncology,Department of,MO USA Department of Radiation Oncology
Winthrop P. Rockefeller Cancer Institute,is for,University of Arkansas for Medical Sciences
brainstem,showed,BM involvement
Murine model imaging BALB c athymic mice,were provided by,Comparative Medical Center
cancer research,focus of was,For decades development of therapeutic interventions
Stoop HJA Peppelenbosch MP van Eijck CH Sleijfer S Tumor cell expression,predict,cancer specific survival in pancreatic cancer Int J Cancer 2017
SABioscience,’s Application is,http://www.sabiosciences.com/chipqpcrsearch.php?app=TFBS
Epigenomics,is,National Cancer Center Research Institute
Using bioinformatics tools,constructed,associated ceRNA network for lung cancer
Department of Radiology,of Department is,National Clinical Research Center for Cancer
Institute for Experimental Surgery,is,Rostock University Medical Center
Arbeitsgruppe Klinische Biochemie,Department of,Department of Surgery
Multiple clinical trials,have,for colorectal adenocarcinoma have performed
NCI H1975 cell line,is,epidermal growth factor receptor
Department of Pathology,of Department is,The University of Oklahoma Health Sciences Center
Several CAR T cell platforms,are under,clinical trials
Pembrolizumab,is,novel cancer immunotherapy
miRNAs,are involved in,tumor specific categories detected
RNA immunoprecipitation assay,was performed with,Imprint RNA Immunoprecipitation kit
Key Laboratory of Medical Immunology,is,Ministry of Health
